Investor Loan Number,Seller Loan Number,Servicer Loan Number,Servicer
BC2018-002005,BC2018-002005,330163818,Cohen
BC2018-001773,BC2018-001773,330163819,Cohen
BC2018-002188,BC2018-002188,330163951,Cohen
BC2018-002273,BC2018-002273,330164022,Cohen
BC2018-002411,BC2018-002411,330164023,Cohen
BC2018-002436,BC2018-002436,330164024,Cohen
BC2018-002010,BC2018-002010,330164027,Cohen
BC2018-002287,BC2018-002287,330164040,Cohen
BC2018-002212,BC2018-002212,330164195,Cohen
BC2018-002392,BC2018-002392,330164196,Cohen
BC2018-001891,BC2018-001891,330164213,Cohen
BC2018-002448,BC2018-002448,330164214,Cohen
BC2018-002538,BC2018-002538,330164290,Cohen
BC2018-002172,BC2018-002172,330164297,Cohen
BC2018-002478,BC2018-002478,330164762,Cohen
BC2018-002570,BC2018-002570,330164763,Cohen
BC2018-002521,BC2018-002521,330164939,Cohen
BC2018-002554,BC2018-002554,330164955,Cohen
BC2018-003101,BC2018-003101,330165171,Cohen
BC2018-003025,BC2018-003025,330165254,Cohen
BC2018-002707,BC2018-002707,330165308,Cohen
BC2018-002944,BC2018-002944,330165309,Cohen
BC2018-002637,BC2018-002637,330165462,Cohen
BC2018-003130,BC2018-003130,330165463,Cohen
BC2018-002785,BC2018-002785,330165464,Cohen
BC2018-002843,BC2018-002843,330165595,Cohen
BC2018-003036,BC2018-003036,330165624,Cohen
BC2018- 002992,BC2018-002992,330165814,Cohen
BC2018- 002941,BC2018-002941,330165815,Cohen
BC2018- 003349,BC2018-003349,330165816,Cohen
BC2018-002972,BC2018-002972,330165835,Cohen
BC2018- 003128,BC2018-003128,330165836,Cohen
BC2018-003328,BC2018-003328,330166026,Cohen
BC2018-003337,BC2018-003337,330166027,Cohen
BC2018-002930,BC2018-002930,330166112,Cohen
BC2018-003235,BC2018-003235,330166113,Cohen
BC2018-003119,BC2018-003119,330166214,Cohen
BC2018-003120,BC2018-003120,330166215,Cohen
BC2018-003353,BC2018-003353,330166216,Cohen
BC2018-003443,BC2018-003443,330166400,Cohen
BC2018-003242,BC2018-003242,330166401,Cohen
BC2018-003773,BC2018-003773,330166481,Cohen
BC2018-003121,BC2018-003121,330166498,Cohen
BC2018-003442,BC2018-003442,330166571,Cohen
BC2018-003576,BC2018-003576,330166572,Cohen
